tvd (ft),2 way time (s),int vel (ft/s),ave vel (ft/s)
37.99999938,0,,
862.999972,0.3000000119,5500,5500
1138.00003,0.400000006,5500,5500
1413.000028,0.5,5500,5500
1688.000025,0.6000000238,5500,5500
2037.999988,0.6999999881,7000,5714
2387.999951,0.8000000119,7000,5875
2738.000036,0.8999999762,7000,6000
3088.000122,1,7000,6100
3527.999971,1.120000005,7333,6232
3852.999945,1.213999987,6915,6285
3913.000113,1.228999972,8000,6306
4157.999782,1.297000051,7206,6353
4342.999772,1.337000012,9250,6440
4577.999982,1.40199995,7231,6476
4767.999945,1.447999954,8261,6533
4988.000236,1.503999949,7857,6582
5257.999771,1.572999954,7826,6637
5448.000222,1.620000005,8085,6679
5767.999979,1.703999996,7619,6725
6522.999856,1.879999995,8580,6899
6728.000227,1.932000041,7885,6925
7018.000144,2.007999897,7632,6952
7537.999811,2.121000051,9204,7072
7807.999835,2.178999901,9310,7132
8197.999589,2.262000084,9398,7215
8617.999718,2.35800004,8750,7277
8922.99974,2.413000107,11091,7364
9313.000134,2.507999897,8211,7396
9602.999938,2.568000078,9667,7449
9993.000294,2.651000023,9398,7510
10237.99973,2.694999933,11136,7570
10368.00034,2.726000071,8387,7579
10612.99976,2.778000116,9423,7613
11771,3,10432,7822
13058.00027,3.25,10296,8012
14206.00009,3.5,9184,8096
15375.00077,3.75,9352,8180
16564.99923,4,9520,8263
17776.00009,4.25,9688,8347
19008.00027,4.5,9856,8431
20260.99977,4.75,10024,8515
21535.00014,5,10192,8599
